iso3,year,country,gdp_per_capita_usd,school_enroll_tertiary_pct,emp_agriculture_pct,gdp_per_worker_ppp_const,emp_industry_pct,emp_services_pct,lfpr_total_pct,unemp_total_pct,labor_force_thousands,unemployed_thousands
LBY,2022,Libya,5986.636948512581,,8.82581654259597,40704.03126629152,23.2093118195478,67.9648224522469,48.773,19.282,,
LBY,2023,Libya,6172.81246940233,,8.69393884066363,43916.17344522533,23.182873420301,68.1231877390354,48.546,18.753,,
LCA,2000,St. Lucia,5879.56191426207,,21.0712542703758,52028.45217461412,20.5675242278463,58.3594784912501,64.038,16.49,,
LCA,2001,St. Lucia,5570.452470981062,,17.4735631783418,50229.89938552266,20.1912858660999,62.3351509555583,64.15,18.546,,
LCA,2002,St. Lucia,5567.89428424719,,14.3085893307806,50391.676071783775,19.8433556696545,65.8480549995649,64.447,20.39,,
LCA,2003,St. Lucia,6058.606220593261,,14.5620596677394,52513.26559381484,17.832478037749,67.6054622945116,64.743,22.18,,
LCA,2004,St. Lucia,6494.600348678856,14.0149698257446,16.4334259600254,54204.25796130314,17.8228263416921,65.7437476982825,65.038,20.97,,
LCA,2005,St. Lucia,6863.4364191934455,13.6527500152588,13.772702694106,51286.96929770926,20.3139412831197,65.9133560227743,65.332,18.7,,
LCA,2006,St. Lucia,7611.178566753192,10.2959804534912,14.0284360189573,51524.984262842474,21.2773640261792,64.6957045061311,65.625,16.0,,
LCA,2007,St. Lucia,7964.382114801171,9.23097038269043,13.5808142457098,50010.61786135063,20.5083650463129,65.9108207079773,65.916,14.0,,
LCA,2016,St. Lucia,10638.12693966526,19.8053798675537,10.644870639722,49231.23780510687,16.7344574591325,72.6193847342,69.339,19.933,,
LCA,2017,St. Lucia,11333.112382210158,20.7909393310547,10.3467850790327,49879.47329468659,16.3426726041049,73.3105423168624,69.369,19.136,,
LCA,2018,St. Lucia,11642.69847277694,14.6977701187134,11.3490177538351,50613.85926457605,14.8263806810406,73.8246015651244,69.88,19.329,,
LCA,2019,St. Lucia,11794.059722980532,16.0102691650391,9.97388220635453,48398.765011939046,14.6894618296832,75.3378540278909,68.799,15.613,,
LCA,2020,St. Lucia,8411.07474936367,16.9041500091553,9.32501846793451,52493.074168323925,15.059526877287,75.6171726021749,53.739,25.224,,
LCA,2021,St. Lucia,10459.132124809184,,11.0826714515661,44990.67500841981,16.0540412169829,72.863287331451,65.5,20.514,,
LCA,2022,St. Lucia,13103.824314747177,16.2592697143555,10.620884289746,48273.98524306389,16.9132173095014,72.4658984007526,69.156,15.934,,
LCA,2023,St. Lucia,13554.768478493274,,10.3861297687192,46278.072173300054,17.021253129515,72.5926171017658,69.259,11.092,,
LCN,2000,Latin America & Caribbean,4472.562667715565,23.3323802947998,18.52916187630432,37792.06656344928,22.490804883839846,58.98003423152331,63.258757603797875,9.461823301644998,,
LCN,2001,Latin America & Caribbean,4326.61919101622,24.8660297393799,18.690431444496483,36996.79464814741,21.942704938820732,59.36686313344717,63.30744522345657,9.06712263436888,,
LCN,2002,Latin America & Caribbean,3839.177865048965,26.7648696899414,18.63199124597276,36502.54140082392,21.90397161065645,59.464039044562384,63.358942116017346,9.406548642457745,,
LCN,2003,Latin America & Caribbean,3862.118859508348,28.4098701477051,18.21183386173121,36465.73213775058,21.692494992232795,60.09567253609848,63.576813418256,9.267107918822196,,
LCN,2004,Latin America & Caribbean,4385.877024025716,29.9088897705078,18.085813157540542,37240.81401369017,21.75746279655369,60.156724494560464,64.0436880495185,8.751233220394669,,
LCN,2005,Latin America & Caribbean,5229.873372755062,31.6548690795898,17.775034008490376,37649.883036826104,21.71266258654433,60.512305579110496,64.37713402429388,8.237947090181454,,
LCN,2006,Latin America & Caribbean,6047.704175642681,34.1707382202148,17.040244021778314,38517.56569796927,21.837814459123937,61.12194069114386,64.56919822543985,7.614742074800548,,
LCN,2007,Latin America & Caribbean,7035.765126340425,36.2847900390625,16.234898296185982,39737.84434198381,22.18852339433635,61.57657829058017,64.41660841676425,7.225953076246747,,
LCN,2016,Latin America & Caribbean,8460.655436172981,50.3801002502441,13.91097111689709,42516.44161512469,21.11663341479857,64.97239512246719,63.34122158709206,7.729851554966381,,
LCN,2017,Latin America & Caribbean,9308.696170880174,51.729190826416,14.046323453891858,42732.06817696456,20.891126801512463,65.06254829440647,63.451386357695235,8.02899418957499,,
LCN,2018,Latin America & Caribbean,9032.038482760625,52.4272918701172,14.048337782455402,42611.050103557405,20.7364337089204,65.21522845177914,63.53466549785522,7.932470904401236,,
LCN,2019,Latin America & Caribbean,8830.227821561017,53.3283500671387,13.734979835992265,42118.47737408063,20.578415840130425,65.68660531156983,63.68921112238193,8.000433574947005,,
LCN,2020,Latin America & Caribbean,7445.296453093452,54.838981628418,14.51476807287733,42599.0457170655,20.422309308976487,65.06292337948572,59.58755367867751,10.21428158712633,,
LCN,2021,Latin America & Caribbean,8597.53194021339,56.7359199523926,14.088785488744444,42953.33887116506,20.90630629169695,65.00490786057247,61.88024795962174,9.157520461265182,,
LCN,2022,Latin America & Caribbean,9716.032667438236,58.2025489807129,13.200080286216773,42482.058113529885,20.92645866277121,65.87346212078909,62.80895462101532,6.915300440108313,,
