country,year,age_band,value_lf,value_unemp,unemployment_rate
Argentina,2006,25-34,5897.659,508.716,8.625727598018129
Argentina,2006,35-44,4848.809,301.82,6.224621345159193
Argentina,2006,45-54,4050.72,260.583,6.433004502903189
Argentina,2006,55-64,3917.271,283.911,7.247673188809251
Argentina,2006,65+,1299.09,97.281,7.488395723160059
Argentina,2006,,33115.331999999995,3337.1969999999997,10.077498241599994
Argentina,2008,15-24,7235.94,1362.996,18.836474597633483
Argentina,2008,25-34,5919.223,446.932,7.550518032518795
Argentina,2008,35-44,5102.8330000000005,258.396,5.0637753577277556
Argentina,2008,45-54,4274.386,200.46,4.689796382451187
Argentina,2008,55-64,3965.6099999999997,184.234,4.645792198425968
Argentina,2008,65+,1124.742,57.384,5.1019700517985465
Argentina,2008,,33461.967,2622.5519999999997,7.837411351221522
Argentina,2009,15-24,7183.024,1520.304,21.165236257041602
Argentina,2009,25-34,6107.661,507.138,8.303309564823588
Argentina,2009,35-44,5197.507,282.524,5.4357598748784755
Argentina,2009,45-54,4345.002,235.204,5.413208095186147
Argentina,2009,55-64,4085.549,207.609,5.081544732421518
Argentina,2009,65+,1210.704,68.00399999999999,5.616897276295444
Argentina,2009,,34158.777,2953.143,8.645341722860863
Argentina,2010,15-24,7012.656,1357.544,19.35848557237087
Argentina,2010,25-34,6240.024,453.752,7.271638698825517
Argentina,2010,35-44,5226.3,257.235,4.921933298892141
Argentina,2010,45-54,4287.135,208.218,4.856809967495774
Argentina,2010,55-64,4148.6849999999995,187.80599999999998,4.526880204209286
Argentina,2010,65+,1198.407,56.226,4.6917282692774664
Argentina,2010,,34236.774,2640.996,7.713916036598542
Argentina,2011,15-24,6953.08,1302.128,18.727355359063896
Argentina,2011,25-34,6229.018,444.506,7.136052584853664
Argentina,2011,35-44,5491.372,244.48,4.4520750005645215
Argentina,2011,45-54,4360.51,177.912,4.080073202446503
Argentina,2011,55-64,4251.396000000001,176.016,4.140193009543217
